protocol,method,alpha,n_reps,clean_mse_mean,clean_mse_std,clean_rmse_mean,clean_mae_mean,clean_mae_std,clean_mse_user_worst,old_last_mse,old_best_mse,old_last_mae
client_local,fedgen-le10,0.5,1,0.0648,,0.2545,0.1521,,0.0905,0.0599,0.0599,0.145
client_local,fedgen-le10,1.0,1,0.0639,,0.2528,0.1515,,0.0866,0.0609,0.0609,0.147
client_local,fedgen-le10,5.0,1,0.0619,,0.2489,0.1501,,0.0744,0.0591,0.0591,0.1463
client_local,fedgen-le10,10.0,1,0.0639,,0.2529,0.1601,,0.0771,0.0604,0.0604,0.1545
client_local,fedgen-le5,0.01,1,0.1863,,0.4316,0.2968,,0.5642,0.1784,0.1523,0.2919
client_local,fedgen-le5,0.1,1,0.2283,,0.4778,0.3515,,0.5389,0.2165,0.1706,0.3444
client_local,fedgen-le5,0.5,1,0.2299,,0.4795,0.3539,,0.5169,0.2255,0.1714,0.3466
client_local,fedgen-le5,1.0,1,0.2289,,0.4785,0.3528,,0.5039,0.2191,0.1716,0.3463
client_local,fedgen-le5,5.0,1,0.2343,,0.484,0.3549,,0.3494,0.2247,0.1715,0.3478
client_local,fedgen-le5,10.0,1,0.2289,,0.4785,0.3547,,0.311,0.2208,0.1715,0.3474
client_local,fedgen-partial,0.01,3,0.0432,0.0001,0.2077,0.0748,0.0004,0.1346,0.0444,0.0429,0.0752
client_local,fedgen-partial,0.1,3,0.0545,0.0027,0.2333,0.1062,0.0047,0.0916,0.0554,0.0554,0.1064
client_local,fedgen-partial,0.5,3,0.0482,0.0026,0.2195,0.1098,0.0039,0.0655,0.0478,0.0478,0.1089
client_local,fedgen-partial,1.0,3,0.0573,0.0013,0.2395,0.1213,0.0019,0.1574,0.0581,0.0581,0.1218
client_local,fedgen-partial,5.0,3,0.0418,0.0017,0.2044,0.0998,0.0046,0.0516,0.041,0.0408,0.0994
client_local,fedgen-partial,10.0,3,0.0407,0.0002,0.2018,0.0964,0.0007,0.0518,0.0401,0.0396,0.0957
global,fedgen,0.01,1,0.0704,,0.2654,0.1726,,0.0704,0.0613,0.0613,0.1576
global,fedgen,0.1,1,0.05,,0.2235,0.1372,,0.05,0.0499,0.0487,0.1306
global,fedgen,0.5,1,0.0373,,0.1932,0.1071,,0.0373,0.0407,0.0407,0.111
global,fedgen,1.0,1,0.0481,,0.2194,0.1347,,0.0481,0.0457,0.0457,0.123
global,fedgen,5.0,1,0.0363,,0.1906,0.0977,,0.0363,0.0423,0.0421,0.1051
global,fedgen,10.0,1,0.0332,,0.1822,0.0933,,0.0332,0.0393,0.0393,0.0991
global,fedgen-partial,0.01,1,0.1957,,0.4424,0.3896,,0.2198,0.2531,0.1751,0.3692
global,fedgen-partial,0.1,1,0.1937,,0.4401,0.3887,,0.2118,0.2662,0.1751,0.3769
global,fedgen-partial,0.5,1,0.0985,,0.3139,0.1898,,0.3863,0.0981,0.0962,0.188
global,fedgen-partial,1.0,1,0.1338,,0.3658,0.2293,,0.3991,0.1358,0.1317,0.2297
global,fedgen-partial,5.0,1,0.0463,,0.2151,0.1282,,0.0664,0.0471,0.0466,0.1251
global,fedgen-partial,10.0,1,0.0347,,0.1864,0.0959,,0.0411,0.0409,0.0406,0.1029
