protocol,method,alpha,rep,clean_mse,clean_mse_user_mean,clean_mse_user_std,clean_mse_user_worst,clean_mae,clean_mae_user_mean,clean_mae_user_std,clean_mae_user_worst,clean_mape,clean_mape_user_mean,clean_mape_user_std,clean_mape_user_worst,clean_unscaled_mae,clean_unscaled_mae_user_mean,clean_unscaled_mae_user_std,clean_unscaled_mae_user_worst,clean_rmse,n_users_eval,old_last_mse,old_best_mse,old_last_mae,old_best_mae,old_rounds
client_local,fedavg-le1,0.01,0,0.155316388476588,0.1523969005793333,0.0615002675156467,0.3051709532737732,0.3656154088151423,0.3605082556605339,0.0831411024519001,0.547474205493927,0.2757863141506877,0.2723161939531565,0.1039988447547913,0.5445489287376404,65.3638514732295,56.95133526325226,85.71948512558367,418.68951416015625,0.3941020026295071,20,0.153614589310305,0.153614589310305,0.3643641436318916,0.3643641436318916,300
client_local,fedavg-le1,0.1,0,0.1748528592906598,0.1524613555520773,0.0598600380620728,0.3020553290843963,0.3895694268246633,0.362985198199749,0.0763409391773294,0.5437656044960022,0.3107385280664378,0.2692884586751461,0.1042481365111134,0.5391261577606201,57.53710961626735,69.63133369684219,80.34843294934313,281.4934387207031,0.4181541094987108,20,0.1720425612214866,0.1709747453587728,0.3862004254657352,0.3862004254657352,300
client_local,fedavg-le1,0.5,0,0.1752992731536022,0.1681434273719787,0.0438369111422169,0.2927509844303131,0.3898678528140343,0.381596527993679,0.0522844615344625,0.5320734977722168,0.3115852223216629,0.2979794733226299,0.0807489213696579,0.5224115252494812,56.01533180170706,61.81699042320251,45.431887491533175,135.21766662597656,0.4186875603043423,20,0.1730032400237516,0.1717627422908002,0.3874407206439177,0.3874407206439177,300
client_local,fedavg-le1,1.0,0,0.1753744832798209,0.1706588480621576,0.0524260673068732,0.2885865867137909,0.3900472506017046,0.3842333197593689,0.0618838988060013,0.5274293422698975,0.3117063462247859,0.3032695546746254,0.0965165393439539,0.5148331522941589,56.96101272638822,59.56203689575195,48.46848771374409,163.62152099609375,0.4187773672010236,20,0.17322280695164,0.1719707355104474,0.3878756159953207,0.3878756159953207,300
client_local,fedavg-le1,10.0,0,0.1755970808274569,0.1743871949613094,0.0202515999384264,0.2044830918312072,0.3904274233330725,0.3890107423067093,0.0243240619305196,0.4248612225055694,0.3120850865651967,0.3097980670630932,0.0382207847593753,0.3693541586399078,56.83730031508597,57.86139588356018,25.772891998305724,94.22926330566406,0.4190430536680651,20,0.1731484060915147,0.1718956941672385,0.3877111195005442,0.3877111195005442,300
client_local,fedavg-le1,5.0,0,0.1754645238811372,0.1729831863194704,0.0272399026370387,0.2155980914831161,0.3902351216819945,0.3871190398931503,0.0332443745644715,0.4351096749305725,0.3119016045676395,0.3075993351638317,0.0497136850014694,0.390290766954422,55.77926371700185,56.36825265884399,32.42073120078959,123.09232330322266,0.4188848575457666,20,0.1731423597356072,0.1718943866530289,0.3877047138414806,0.3877047138414806,300
client_local,fedavg-le10,0.01,0,0.1789116362771756,0.1764299286529422,0.1334914273069339,0.5344715118408203,0.2995127650871839,0.2954807769507169,0.1610190760551473,0.7217006683349609,0.2661270966013551,0.2628144670277834,0.1708264257937028,0.719989001750946,65.2586661851752,56.853767573833466,85.66510860222529,418.38812255859375,0.4229794750069743,20,0.1754321621135181,0.1523018344307571,0.2927910025956667,0.2927910025956667,300
client_local,fedavg-le10,0.1,0,0.2246795215465314,0.1690558401867747,0.1380893272355982,0.5267583131790161,0.354164345029918,0.2895918779075145,0.1639480953717934,0.7128386497497559,0.324742724309658,0.2541853632777929,0.1759168330711768,0.7105296850204468,57.46775065538223,69.51823509931565,80.28830966604845,281.33154296875,0.4740037146969751,20,0.2196719514867296,0.1709747453587728,0.3462895529726615,0.3462895529726615,300
client_local,fedavg-le10,0.5,0,0.225823696634384,0.207302625849843,0.1090805946342147,0.5042917132377625,0.3560260909397995,0.3348240248858928,0.1262686063372973,0.6865946650505066,0.3265365017366293,0.3030996195971965,0.1381915687551639,0.682332456111908,55.95020652895921,61.736625289916994,45.37982196792091,135.06922912597656,0.4752091083243081,20,0.2214669077681268,0.1717627422908002,0.3487534420164405,0.3487534420164405,300
client_local,fedavg-le10,1.0,0,0.2260061238797514,0.2149788651615381,0.1312756902454016,0.4941165447235107,0.3560531818345147,0.3429297417402267,0.1529922161415998,0.6744509339332581,0.3266372353165553,0.3125361423939466,0.1668019524718534,0.669161319732666,56.89502240719256,59.48821883201599,48.37792377567689,163.4065704345703,0.475401013755494,20,0.2219205735172692,0.1719707355104474,0.3490610295062865,0.3490610295062865,300
client_local,fedavg-le10,10.0,0,0.2261522781161071,0.2230643175542354,0.0511153223506129,0.3061554133892059,0.3566014281451679,0.3530567541718483,0.0588090414961773,0.4446389377117157,0.327071047468767,0.3231593653559684,0.0648689585142131,0.4275062978267669,56.77331611335173,57.79500041007996,25.739924894230143,94.09605407714844,0.475554705702832,20,0.2216703610298019,0.1718956941672385,0.3491682609875322,0.3491682609875322,300
client_local,fedavg-le10,5.0,0,0.2260088710118133,0.2204766228795051,0.066211612243444,0.3346140682697296,0.3563109269487665,0.3496016725897789,0.0775194075517932,0.4789712727069855,0.3268257136050642,0.3197192631661892,0.0843746134254804,0.4638494551181793,55.7150328275778,56.30035099983216,32.382346842117094,122.94358825683594,0.4754039030254309,20,0.2216623575291855,0.1718943866530289,0.3491351287874879,0.3491351287874879,300
client_local,fedavg-le5,0.01,0,0.1604543575977983,0.1577815080061554,0.1022938720370777,0.4298352003097534,0.3216562276397532,0.3159199379384517,0.1315967453458776,0.6475061178207397,0.2667497291113816,0.262628561258316,0.1448292498749841,0.6456426382064819,65.35874632657848,56.94622089862823,85.71797204173942,418.6780090332031,0.4005675443639915,20,0.1576566270061079,0.1523081917236192,0.3195148553020237,0.3195148553020237,300
client_local,fedavg-le5,0.1,0,0.1952879908512319,0.153570057824254,0.1045634937944101,0.4242062866687774,0.3640796021559452,0.3148060411214828,0.1282789191000981,0.6407613754272461,0.3158517012622491,0.2571181211620569,0.1467098489239753,0.6378887891769409,57.53377325733694,69.62581839561463,80.34671578096743,281.4877624511719,0.4419140084351614,20,0.191136345664106,0.1709747453587728,0.3597075546098002,0.3597075546098002,300
client_local,fedavg-le5,0.5,0,0.1961362320093818,0.1823856323957443,0.0815337273160147,0.4070717990398407,0.3652132214182216,0.3493472218513488,0.0958219472831111,0.6202818751335144,0.3171697945784481,0.297803471237421,0.114514633133532,0.6142323613166809,56.01213568375236,61.81307375431061,45.42947273017156,135.20965576171875,0.442872704068993,20,0.1925900129552309,0.1717627422908002,0.361778735583755,0.361778735583755,300
client_local,fedavg-le5,1.0,0,0.1962760028011623,0.1878916379064321,0.0980342287612579,0.3995198011398315,0.3652546457866638,0.3549830265343189,0.1143498928319362,0.6109018921852112,0.3172655808779719,0.3054127544164657,0.1371556730863411,0.6032191514968872,56.95779454924112,59.55839681625366,48.46473121880455,163.6121063232422,0.4430304761539123,20,0.1929421567537842,0.1719707355104474,0.3622248635945457,0.3622248635945457,300
client_local,fedavg-le5,10.0,0,0.1964814320457328,0.1941808186471462,0.0381367887573867,0.254494309425354,0.3658498631293413,0.3631621718406677,0.0450415616809497,0.4321018159389496,0.3177427943681265,0.3144912265241146,0.0541284401693992,0.3996175825595855,56.83413193411385,57.85810651779175,25.77119396034765,94.22270965576172,0.44326226102132,20,0.1927914973382963,0.1718956941672385,0.3621261256873181,0.3621261256873181,300
client_local,fedavg-le5,5.0,0,0.1963329578404179,0.1920783217996358,0.0497329215486115,0.2762155532836914,0.3656313152761172,0.360306952893734,0.0595161665925634,0.455255389213562,0.3175400288403705,0.3115371905267238,0.0702327893266421,0.4297400712966919,55.77610139773822,56.364884281158446,32.41906516168651,123.08499908447266,0.4430947504094558,20,0.1927778993205205,0.1718943866530289,0.362150352888418,0.362150352888418,300
client_local,fedavg-partial,0.01,0,0.0592290784984277,0.1222287376411259,0.0742073837322155,0.2024374008178711,0.0955912387602253,0.1995056472718715,0.1229534197857078,0.3350825905799866,0.080601626687198,0.1785754304379224,0.1171730305794361,0.3089485466480255,41.88297124379615,44.76722105741501,52.48118555216022,255.371322631836,0.2433702498220104,20,0.0600288124430745,0.0594056357217025,0.0952070227313317,0.0952070227313317,300
client_local,fedavg-partial,0.1,0,0.0998395566240875,0.1191416278481483,0.0633249433140795,0.2411534637212753,0.1481417567320507,0.1801870314404368,0.0866043188446816,0.3241479992866516,0.1284624780455203,0.156410956569016,0.0815970523029323,0.2989314794540405,47.9130313322602,60.065125739574434,65.78602065418097,227.1326446533203,0.3159739809289486,20,0.1003306159852257,0.0951840516228953,0.1481073015731319,0.1481073015731319,300
client_local,fedavg-partial,0.5,0,0.1569097871149485,0.1590292548760771,0.0509077519735266,0.2402105182409286,0.2647691551912864,0.2651787545531988,0.0961451691263838,0.3892433047294616,0.2255127996844773,0.2283077908679843,0.0896845596006109,0.3543416261672973,54.32817316460443,59.88242700099945,44.83056754389129,131.96250915527344,0.3961184003741161,20,0.156062412581501,0.1506346583235593,0.2627793038697821,0.2627793038697821,300
client_local,fedavg-partial,1.0,0,0.1435330651905943,0.1449915029108524,0.0477532106919031,0.2188823968172073,0.2245623665373849,0.2276617653667926,0.0822179437190687,0.3740350902080536,0.1836245252306903,0.1878786766901612,0.0768186332964696,0.3263048827648163,53.78279705278378,56.46765584945679,44.165878125179184,144.1853485107422,0.3788575790328,20,0.1441416582768729,0.1366512674110856,0.2243039388794475,0.2243039388794475,300
client_local,fedavg-partial,10.0,0,0.1994399826044922,0.1989586092531681,0.0281668396888684,0.2396118491888046,0.3397841624840562,0.336610721796751,0.0510222027492579,0.4040074348449707,0.3051817348327619,0.3027107834815979,0.0422421644001684,0.3524162173271179,56.46667526298561,57.45802474021912,25.47368577510976,92.64794921875,0.4465870381062265,20,0.1961611701228076,0.171492082158588,0.3339017992288483,0.3339017992288483,300
client_local,fedavg-partial,5.0,0,0.1899265804439749,0.188790076225996,0.0336615798277543,0.2326668947935104,0.3306761356559042,0.3252833373844623,0.0668421353400018,0.4076259732246399,0.2912396365458461,0.2873865306377411,0.0594218387563281,0.3573093116283417,55.18534241998729,55.74539713859558,31.81167376279684,121.29226684570312,0.4358056682100119,20,0.187117885421746,0.1703616428743832,0.3259444298298541,0.3259444298298541,300
client_local,fedgen,0.01,0,0.0574482717284724,0.0551704259589314,0.0143741810175325,0.0844186171889305,0.1336151050050426,0.1302887454628944,0.0263627006398181,0.1685059815645218,0.096516145208692,0.0943834932520985,0.0280034570746934,0.1659732609987259,60.77106175333866,52.52714306116104,82.17047917376416,400.7399291992188,0.2396836909939272,20,0.0548949379900093,0.0540891230274597,0.1314774914023112,0.1307690358443879,279
