data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
filtered,fedgen_zhu_code_full,full,1.0,3,0.6185,0.0028,0.0368,8.3,69.913,69.913,0.6476,0.6275,0.0018,0.5842,0.6185,False
filtered,fedgen_zhu_code_full,full,5.0,3,0.6404,0.001,0.0332,9.3,78.302,78.302,0.6586,0.6611,0.0015,0.5983,0.6404,False
filtered,fedgen_zhu_code_full,full,10.0,3,0.6483,0.0015,0.0248,9.0,75.506,75.506,0.6553,0.6525,0.0012,0.6179,0.6483,False
filtered,fedgen_zhu_code_full_medoid,full,0.1,3,0.5831,0.0025,0.0664,17.3,145.588,145.419,0.6157,0.5695,0.0064,0.486,0.5831,False
filtered,fedgen_zhu_code_full_medoid,full,0.5,3,0.6453,0.0011,0.0427,7.7,64.395,64.32,0.6591,0.6615,0.0014,0.6095,0.6453,False
filtered,fedgen_zhu_code_full_medoid,full,1.0,3,0.6183,0.0017,0.0362,8.3,69.994,69.913,0.6466,0.6263,0.0014,0.5839,0.6183,False
filtered,fedgen_zhu_code_full_medoid,full,5.0,3,0.6401,0.0004,0.0324,11.0,92.392,92.285,0.6578,0.6603,0.001,0.5996,0.6401,False
filtered,fedgen_zhu_code_full_medoid,full,10.0,3,0.6486,0.0009,0.0236,10.3,86.793,86.692,0.6548,0.652,0.0005,0.6196,0.6486,False
filtered,fedgen_zhu_code_partial,partial,0.1,3,0.6486,0.0094,0.0404,9.0,0.931,0.931,0.594,0.5732,0.0022,0.5091,0.7024,False
filtered,fedgen_zhu_code_partial,partial,0.5,3,0.6288,0.0033,0.0262,8.3,0.862,0.862,0.5791,0.5689,0.0068,0.5429,0.6363,False
filtered,fedgen_zhu_code_partial,partial,1.0,3,0.6375,0.0206,0.0287,7.7,0.793,0.793,0.5867,0.5703,0.01,0.5408,0.6259,False
filtered,fedgen_zhu_code_partial,partial,5.0,3,0.6319,0.0221,0.0216,10.0,1.034,1.034,0.583,0.5831,0.0077,0.5536,0.6462,False
filtered,fedgen_zhu_code_partial,partial,10.0,3,0.5956,0.0074,0.0207,7.0,0.724,0.724,0.5783,0.5785,0.0029,0.5429,0.6315,False
filtered,fedgen_zhu_code_partial_medoid,partial,0.1,3,0.6495,0.0281,0.0441,11.0,1.245,1.138,0.5969,0.5725,0.0075,0.5012,0.6978,False
filtered,fedgen_zhu_code_partial_medoid,partial,0.5,3,0.6202,0.026,0.0275,10.7,1.207,1.103,0.5845,0.5773,0.0057,0.5516,0.6362,False
filtered,fedgen_zhu_code_partial_medoid,partial,1.0,3,0.6095,0.0531,0.032,9.7,1.094,1.0,0.5788,0.5645,0.0152,0.5361,0.636,False
filtered,fedgen_zhu_code_partial_medoid,partial,5.0,3,0.6038,0.0189,0.0189,12.3,1.396,1.275,0.5851,0.5834,0.0054,0.5592,0.6507,False
filtered,fedgen_zhu_code_partial_medoid,partial,10.0,3,0.5948,0.0029,0.0271,7.7,0.868,0.793,0.5726,0.5736,0.0087,0.5302,0.6275,False
filtered,fedgen_zhu_full,full,0.1,3,0.5846,0.001,0.0744,16.7,139.988,139.825,0.6193,0.5727,0.0017,0.4808,0.5846,False
filtered,fedgen_zhu_full,full,0.5,3,0.644,0.0002,0.0392,7.0,58.795,58.727,0.6571,0.6582,0.0007,0.6112,0.644,False
