data_case,variant,sharing,alpha,seed,round,cum_mb,pooled_val,pooled_test
unfiltered,fedgen_zhu_full,full,1.0,seed_7,16,142.62168884277344,0.5818352505233674,0.595301235551735
unfiltered,fedgen_zhu_full,full,1.0,seed_7,17,151.01119995117188,0.5798942688539895,0.590507198076277
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,0,8.389511108398438,0.5819151597820458,0.6018057218337104
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,1,16.779022216796875,0.58536026638851,0.607248820578031
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,2,25.168533325195312,0.5845431933067333,0.6087124526504379
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,3,33.55804443359375,0.5883017367772242,0.6084434227945674
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,4,41.94755554199219,0.5908291451788202,0.6082041769687384
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,5,50.337066650390625,0.5900412858424573,0.6088551854085974
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,6,58.72657775878906,0.5887130633949217,0.6080192982067786
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,7,67.1160888671875,0.5898530559547168,0.6089646497254592
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,8,75.50559997558594,0.5898874121946416,0.6083265284831149
unfiltered,fedgen_zhu_full_medoid,full,1.0,seed_7,9,83.89511108398438,0.5899914656474072,0.6067999336117174
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,0,8.389511108398438,0.5819151597820458,0.6018057218337104
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,1,16.779022216796875,0.5855708168907239,0.6074750767236614
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,2,25.168533325195312,0.5862885413551384,0.6069154828379423
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,3,33.55804443359375,0.5886693339557818,0.6066861009704495
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,4,41.94755554199219,0.5897347421093709,0.6081463895452904
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,5,50.337066650390625,0.5882465187865172,0.6080063981989283
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,6,58.72657775878906,0.5866959655124623,0.6089433717581909
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,7,67.1160888671875,0.5876972201352366,0.6076237278568227
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,8,75.50559997558594,0.5867725558562435,0.6079920890541729
unfiltered,fedgen_zhu_full_no_proto,full,1.0,seed_7,9,83.89511108398438,0.5870239910133997,0.6074637651974134
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,0,0.1033782958984375,0.6086308199543377,0.6103793975575917
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,1,0.206756591796875,0.6261630061345218,0.6285472075210812
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,2,0.3101348876953125,0.6079680946510763,0.6134992394760019
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,3,0.41351318359375,0.6046736157207151,0.6126851170342004
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,4,0.5168914794921875,0.5951941382856892,0.6060812609797386
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,5,0.620269775390625,0.6260828780462898,0.6346315276089375
unfiltered,fedgen_zhu_medoid,partial,1.0,seed_7,6,0.7236480712890625,0.5163343132034459,0.527814248802951
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,0,0.1033782958984375,0.6086308199543377,0.6103793975575917
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,1,0.206756591796875,0.5667647509354963,0.5687122569085115
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,2,0.3101348876953125,0.5791308819560445,0.583855585091065
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,3,0.41351318359375,0.5467764218450248,0.5600290143850845
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,4,0.5168914794921875,0.5408866608798406,0.5507043583630892
unfiltered,fedgen_zhu_no_proto,partial,1.0,seed_7,5,0.620269775390625,0.5514284099115199,0.5656934244855318
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,0,0.10341644287109375,0.6680921710080019,0.6764939362020695
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,1,0.2068328857421875,0.6604925123821055,0.6756843486190356
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,2,0.31024932861328125,0.6024930521616713,0.6037082488107398
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,3,0.413665771484375,0.615327186654315,0.6264326182501574
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,4,0.5170822143554688,0.7045972442064875,0.7159223810498859
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,5,0.6204986572265625,0.564286980370989,0.577252151777675
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,6,0.7239151000976562,0.5958709051519772,0.5988107038244284
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,7,0.82733154296875,0.51157706812164,0.5270223779139157
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,8,0.9307479858398438,0.5213360273682828,0.5428784219224398
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,9,1.0341644287109375,0.7231494678794687,0.7327251088519827
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,10,1.1375808715820312,0.72841924824754,0.7398868422072064
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,11,1.240997314453125,0.7450591204510807,0.7538605483274519
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,12,1.3444137573242188,0.6501067158790019,0.6635263538321248
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,13,1.4478302001953125,0.5799156412070638,0.6036296061610951
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,14,1.5512466430664062,0.4836678021489062,0.5034014259030724
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,15,1.6546630859375,0.7441172051089404,0.7478489140832321
unfiltered,fedgen_zhu_pyhat,partial,1.0,seed_7,16,1.7580795288085938,0.6609532215357458,0.6647688667034375
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,0,8.389549255371094,0.5819939019497713,0.6021537274079485
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,1,16.779098510742188,0.5841365350528473,0.6053933203426283
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,2,25.16864776611328,0.5859110603750739,0.6080738702360156
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,3,33.558197021484375,0.5887600752773665,0.6087361133401096
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,4,41.94774627685547,0.5904941536037581,0.6096273155706247
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,5,50.33729553222656,0.5895140889760965,0.6093670736049084
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,6,58.726844787597656,0.588852384877419,0.6055548586733043
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,7,67.11639404296875,0.5892439438921023,0.6049232066503883
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,8,75.50594329833984,0.5875728520055729,0.604708492617045
unfiltered,fedgen_zhu_pyhat_full,full,1.0,seed_7,9,83.89549255371094,0.5870930317375795,0.6018157010850662
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,0,8.389549255371094,0.5819939019497713,0.6021537274079485
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,1,16.779098510742188,0.584162320468587,0.6063559530039008
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,2,25.16864776611328,0.586143530304246,0.6080043229245771
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,3,33.558197021484375,0.5886551829779785,0.608971106134552
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,4,41.94774627685547,0.5884707096642425,0.607090113331501
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,5,50.33729553222656,0.5900502943257496,0.6089181353972526
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,6,58.726844787597656,0.5850683477639267,0.6078257980890259
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,7,67.11639404296875,0.5884565951580314,0.6065736646557515
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,8,75.50594329833984,0.5861796736521924,0.606913151356881
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,9,83.89549255371094,0.5874350988015435,0.6035801198350521
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,seed_7,10,92.28504180908203,0.5844874647137345,0.6027811392098135
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,0,0.10341644287109375,0.6680921710080019,0.6764939362020695
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,1,0.2068328857421875,0.6799698379931871,0.6950640035106468
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,2,0.31024932861328125,0.6056925590657436,0.6132813228587832
